id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1824,A company is developing a report implemented using AWS Step Functions. Amazon CloudWatch shows errors in the Step Functions task state machine. To troubleshoot each task the state input needs to be included along with the error message in the state output. Which coding practice can preserve both the original input and the error for the state?,Use ResultPath in a Catch statement to include the error with the original input,Use InputPath in a Catch statement and set the value to null.,Use ErrorEquals in a Retry statement to include the error with the original input,Use OutputPath in a Retry statement and set the value to $.,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:13.807150
1825,A company is building an application for stock trading. The application needs sub-millisecond latency for processing trade requests. The company uses Amazon DynamoDB to store all the trading data that is used to process each trading request A development team performs load testing on the application and finds that the data retrieval time is higher than expected. The development team needs a solution that reduces the data retrieval time with the least possible effort Which solution meets these requirements?,Add local secondary indexes (LSIs) for the trading data,Store the trading data in Amazon S3 and use S3 Transfer Acceleration,Add retries with exponential backoff for DynamoDB queries,Use DynamoDB Accelerator (DAX) to cache the trading data,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:14.114206
1826,A static website is hosted in an Amazon S3 bucket Several HTML pages on the site use JavaScript to download images from another Amazon S3 bucket These images are not displayed when users browse the site. What is the possible cause for the issue?,The referenced Amazon S3 bucket is in another region,The images must be stored in the same Amazon S3 bucket,Port 80 must be opened on the security group in which the Amazon S3 bucket is located,Cross Origin Resource Sharing must be enabled on the Amazon S3 bucket,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:14.420453
1827,A developer creates an AWS Lambda function to publish a message to an Amazon Simple Notification Service (Amazon SNS) topic All message content must be encrypted in transit and at rest between Lambda and Amazon SNS. A part of the Lambda execution role is as follows: Which combination of steps should the developer take to meet these requirements'? (Select TWO.),Enable server-side encryption on the SNS topic,"Add a Deny statement to the Lambda execution role Specify the SNS topic ARN as the resource Specify ""aws.SecureTransport"" ""true"" as the condition.",Create a VPC endpoint for Amazon SNS,"Add a StringEquals condition of ""sns Protocol"" ""https"" to the Lambda execution role",,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:14.728802
1828,A developer needs to use the AWS CLI on an on-premises development server temporarily to access AWS services while performing maintenance. The developer needs to authenticate to AWS with their identity for several hours. What is the MOST secure way to call AWS CLI commands with the developer's IAM identity?,Specify the developer's IAM access key ID and secret access key as parameters for each CLI command,Run the aws configure CLI command Provide the developer's IAM access key ID and secret access key,Specify the developer's IAM profile as a parameter for each CLI command,Run the get-session-token CLI command with the developer's IAM user. Use the returned credentials to call the CLI,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:15.036010
1829,"A developer created a Lambda function for a web application backend When testing the Lambda function from the AWS Lambda console, the developer can see that the function is being run, but there is no log data being generated in Amazon CloudWatch Logs, even after several minutes. What could cause this situation?",The Lambda function does not have any explicit log statements for the log data to send it to CloudWatch Logs,The Lambda function is missing CloudWatch Logs as a source trigger to send log data,The execution role for the Lambda function is missing permissions to write log data to the CloudWatch Logs,The Lambda function is missing a target CloudWatch Log group,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:15.342769
1830,A developer is making changes to a custom application that uses AWS Elastic Beanstalk. Which solutions will update the Elastic Beanstalk environment with the new application version after the developer completes the changes? (Select TWO/),Package the application code into a zip file. Use the AWS Management Console to upload the .zip file and deploy the packaged application.,Package the application code into a tar file Use the AWS Management Console to create a new application version from the tar file. Update the environment by using the AWS CLI.,Package the application code into a tar file Use the AWS Management Console to upload the tar file and deploy the packaged application,Package the application code into a zip file Use the AWS CLI to create a new application version from the zip file and to update the environment,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:15.649969
1831,"A developer manages an application that interacts with Amazon RDS. Alter observing slow performance with read queries, the developer Implements Amazon ElastiCache to update the cache immediately following the primary database update. What will be the result of this approach to caching?",Caching will increase the load on the database instance because the cache is updated for every database update.,Caching will slow performance of the read queries because the cache is updated when the cache cannot find the requested data,The cache will become large and expensive because the infrequently requested data is also written to the cache,Overhead will be added to the initial response time because the cache is updated only after a cache miss,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:15.957158
1832,A developer is testing a Docker-based application that uses the AWS SDK to interact with Amazon DynamoDB. In the local development environment the application has used 1AM access keys. The application is now ready for deployment onto an ECS cluster How should the application authenticate with AWS services in production?,Configure an ECS task 1AM role for the application to use,Refactor the application to call AWS STS AssumeRole based on an instance role,Configure AWS access key/secret access key environment variables with new credentials,Configure the credentials file with a new access key/secret access key,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:16.264815
1833,A company has dn application that analyzes photographs. A developer is preparing the application for deployment to Amazon EC2 instances. The application's image analysis functions require a mix of GPU instances and CPU instances that run on Amazon Linux. The developer needs to add code to the application so that the functions can determine whether they are running on a GPU instance What should the functions do to obtain this information?,Call the Descnbeinstances API operation and filter on the current instance ID Examine the EiasticGpuAssociations property,Evaluate the GPU_AVA1LABLE environment variable,Call the DescribeElasticGpus API operation,Retrieve the instance type from the instance metadata,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:16.571317
